Camper's Last Name,Camper's First Name,Cabin Mate Request,Activity Choice #1,Activity Choice #2,Activity Choice #3,Activity Choice #4,Alternate Activity Choice
A,1,S,Extreme Water Sports,Creation Exploration,Team Sports,Archery,Splash (beach activities)
B,2,U,Horsemanship,Archery,Wall Climbing,Creation Exploration,Team Sports
C,3,Y,Extreme Water Sports,Horsemanship,Creation Exploration,Wall Climbing,Archery
D,4,X,Team Sports,Wall Climbing,Horsemanship,Crafts,Archery
E,5,A,Wall Climbing,Archery,Creation Exploration,Team Sports,Extreme Water Sports
F,6,,Extreme Water Sports,Canoeing,Team Sports,Archery,Extreme Water Sports
G,7,F,Extreme Water Sports,Crafts,Splash (beach activities),Canoeing,Horsemanship
H,8,,Canoeing,Team Sports,Extreme Water Sports,Wall Climbing,Splash (beach activities)
I,9,G,Horsemanship,Creation Exploration,Crafts,Archery,Wall Climbing
J,10,,Archery,Canoeing,Crafts,Horsemanship,Team Sports
K,11,H,Horsemanship,Creation Exploration,Canoeing,Splash (beach activities),Archery
L,12,,Extreme Water Sports,Creation Exploration,Wall Climbing,Canoeing,Team Sports
M,13,,Creation Exploration,Archery,Team Sports,Canoeing,Splash (beach activities)
N,14,F,Extreme Water Sports,Horsemanship,Creation Exploration,Canoeing,Team Sports
O,15,E,Archery,Canoeing,Extreme Water Sports,Creation Exploration,Team Sports
P,16,H,Wall Climbing,Archery,Splash (beach activities),Canoeing,Creation Exploration
Q,17,,Extreme Water Sports,Archery,Wall Climbing,Team Sports,Horsemanship
R,18,D,Creation Exploration,Team Sports,Extreme Water Sports,Archery,Canoeing
S,19,A,Team Sports,Wall Climbing,Extreme Water Sports,Crafts,Archery
T,20,,Extreme Water Sports,Wall Climbing,Creation Exploration,Horsemanship,Archery
U,21,B,Splash (beach activities),Creation Exploration,Horsemanship,Crafts,Wall Climbing
V,22,B,Team Sports,Archery,Creation Exploration,Crafts,Wall Climbing
W,23,,Horsemanship,Archery,Crafts,Creation Exploration,Team Sports
X,24,S,Extreme Water Sports,Wall Climbing,Archery,Canoeing,Team Sports
Y,25,T,Extreme Water Sports,Horsemanship,Creation Exploration,Canoeing,Wall Climbing
Z,26,U,Horsemanship,Extreme Water Sports,Wall Climbing,Creation Exploration,Archery
AA,27,V,Horsemanship,Extreme Water Sports,Wall Climbing,Creation Exploration,Archery
AB,28,W,Team Sports,Wall Climbing,Horsemanship,Crafts,Canoeing
AC,29,X,Horsemanship,Wall Climbing,Crafts,Team Sports,Splash (beach activities)
AD,30,,Archery,Creation Exploration,Team Sports,Splash (beach activities),Crafts
AE,31,Y,Creation Exploration,Extreme Water Sports,Wall Climbing,Team Sports,Canoeing
AF,32,,Creation Exploration,Crafts,Splash (beach activities),Team Sports,Wall Climbing
AG,33,,Horsemanship,Canoeing,Splash (beach activities),Team Sports,Archery
AH,34,T,Creation Exploration,Horsemanship,Extreme Water Sports,Team Sports,Crafts
AI,35,T,Creation Exploration,Horsemanship,Extreme Water Sports,Team Sports,Crafts
AJ,36,,Creation Exploration,Team Sports,Extreme Water Sports,Wall Climbing,Horsemanship
AK,37,V,Extreme Water Sports,Wall Climbing,Horsemanship,Canoeing,Splash (beach activities)
AL,38,,Wall Climbing,Creation Exploration,Archery,Team Sports,Extreme Water Sports
AM,39,S,Extreme Water Sports,Archery,Team Sports,Canoeing,Creation Exploration
AN,40,X,Horsemanship,Extreme Water Sports,Crafts,Canoeing,Archery
AO,41,W,Horsemanship,Wall Climbing,Creation Exploration,Team Sports,Crafts
AP,42,W,Extreme Water Sports,Archery,Splash (beach activities),Wall Climbing,Team Sports
AQ,43,,Horsemanship,Canoeing,Team Sports,Wall Climbing,Archery
AR,44,Y,Archery,Team Sports,Wall Climbing,Canoeing,Horsemanship
AS,45,S,Archery,Canoeing,Crafts,Creation Exploration,Extreme Water Sports
AT,46,U,Archery,Canoeing,Crafts,Creation Exploration,Extreme Water Sports
AU,47,,Extreme Water Sports,Archery,Canoeing,Crafts,Creation Exploration
AV,48,,Crafts,Extreme Water Sports,Splash (beach activities),Wall Climbing,Archery
AW,49,,Canoeing,Crafts,Splash (beach activities),Team Sports,Extreme Water Sports
AX,50,X,Horsemanship,Extreme Water Sports,Wall Climbing,Canoeing,Creation Exploration
AY,51,,Archery,Canoeing,Horsemanship,Team Sports,Wall Climbing
AZ,52,Y,Crafts,Horsemanship,Splash (beach activities),Wall Climbing,Team Sports
BA,53,,Creation Exploration,Extreme Water Sports,Wall Climbing,Canoeing,Crafts
BB,54,,Splash (beach activities),Creation Exploration,Team Sports,Archery,Crafts
BC,55,A,Canoeing,Creation Exploration,Wall Climbing,Extreme Water Sports,Crafts
BD,56,G,Creation Exploration,Horsemanship,Wall Climbing,Archery,Splash (beach activities)
